period,parent_net_income_hkd_m,cfo_hkd_m,ppe_capex_hkd_m,intangible_additions_hkd_m,cash_proxy_hkd_m,formula,owner_earnings_status
FY2021,-22.677,-8.773,25.852,40.43,-75.055,CFO - PPE capex - intangible additions,unavailable
FY2022,42.002,37.608,9.511,95.575,-67.478,CFO - PPE capex - intangible additions,unavailable
FY2023,-7.818,110.849,33.971,176.109,-99.231,CFO - PPE capex - intangible additions,unavailable
FY2024,142.727,4.137,13.128,211.842,-220.833,CFO - PPE capex - intangible additions,unavailable
FY2025,199.312,69.916,5.634,427.731,-363.449,CFO - PPE capex - intangible additions,unavailable
