period,revenue,subscription,value_added,gross_profit,parent_net_income,cfo,ppe_capex,intangible_additions,free_cash_flow_after_all_capex,diluted_eps,source_refs,gross_margin_pct,revenue_yoy_pct
FY2021,686.528,205.786,480.742,348.771,-22.677,-8.773,25.852,40.43,-75.055,-0.0119,F10/F09,50.8,
FY2022,1442.67,549.005,893.665,590.712,42.002,37.608,9.511,95.575,-67.478,0.0196,F10,40.95,110.14
FY2023,2000.989,868.458,1132.531,850.157,-7.818,110.849,33.971,176.109,-99.231,-0.0035,F09/F08,42.49,38.7
FY2024,2401.322,1103.693,1297.629,1051.463,142.727,4.137,13.128,211.842,-220.833,0.0588,F08/F01,43.79,20.01
FY2025,2872.361,1223.536,1648.825,1285.992,199.312,69.916,5.634,427.731,-363.449,0.0775,F01,44.77,19.62
