period,measurement_status,total_revenue_rmb_mn,core_photo_video_design_rmb_mn,beauty_solutions_rmb_mn,advertising_rmb_mn,other_rmb_mn,gross_profit_rmb_mn,gross_margin_pct,profit_attributable_owners_rmb_mn,adjusted_profit_attributable_owners_rmb_mn,paying_subscribers_mn,subscription_rate_pct,source_note
2022H1,reported,971.188,371.294,218.412,272.462,109.020,503.385,51.8,-266.200,35.988,,,"2023 interim-results comparative; IFRS owners loss rounded"
2022H2,derived,,497.469,,357.440,,,,,74.555,,,"Derived as FY2022 less H1 2022; use only for like-for-like core revenue, ads and adjusted owners profit"
2023H1,reported,1260.881,602.190,286.444,349.161,23.086,754.022,59.8,227.627,151.296,,,"2023 interim results"
2023H2,derived,,725.194,,409.629,,,,,217.001,,,"Derived as FY2023 less H1 2023; use only for like-for-like core revenue, ads and adjusted owners profit"
2024H1,reported,1621.159,930.573,270.574,412.914,7.098,1052.613,64.9,303.428,272.800,10.81,4.2,"2024 interim report; paying subscribers stated as over 10.81 million"
2024H2,derived,,1155.043,,440.553,,,,,313.367,,,"Derived as FY2024 less H1 2024; use only for like-for-like core revenue, ads and adjusted owners profit"
2025H1,reported,1821.188,1351.353,30.065,433.549,6.221,1339.564,73.6,397.020,467.429,15.40,5.5,"2025 interim report; total presentation still includes the beauty business"
2025H2,derived,,1602.680,,409.046,,,,,497.918,,,"Derived as FY2025 less H1 2025; core revenue and ads are comparable; adjusted owners profit includes discontinued-operation effects"
